question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2026-049_a_1,"In general, would you say your physical health is:",Module A,in-general-would-you-say-your-physical-health-is,https://reports.verasight.io/reports/sbm-2026#q-1-1,1000,999.9999999999949,+/- 3.2%,false,5
2026-049_a_10,Which of the following do you believe has the greatest impact on your overall health and well-being?,Module A,which-of-the-following-do-you-believe-has-the-greatest-impact-on-your-overall-health-and-well-being,https://reports.verasight.io/reports/sbm-2026#q-1-10,1000,999.9999999999949,+/- 3.2%,false,7
2026-049_a_11,Do you do engage in regular physical activity as described above?,Module A,do-you-do-engage-in-regular-physical-activity-as-described-above,https://reports.verasight.io/reports/sbm-2026#q-1-11,1000,999.9999999999949,+/- 3.2%,false,5
2026-049_a_12,"During the past 7 days, on how many days were you physically active for at least 60 minutes per day?",Module A,during-the-past-7-days-on-how-many-days-were-you-physically-active-for-at-least-60-minutes-per-day,https://reports.verasight.io/reports/sbm-2026#q-1-12,1000,999.9999999999949,+/- 3.2%,false,8
2026-049_a_13,"To lower your risk for certain diseases, during the last 12 months have you ever been told by a doctor or health professional to increase your muscle-strengthening exercise (e.g., resistance training, body weight exercise)?",Module A,to-lower-your-risk-for-certain-diseases-during-the-last-12-months-have-you-ever-been-told-by-a-doctor-or-health-professional-to-increase-your-muscle-strengthening-exercise-e-g,https://reports.verasight.io/reports/sbm-2026#q-1-13,1000,999.9999999999949,+/- 3.2%,false,3
2026-049_a_14,"How would you rate your healthy eating behaviors on a scale of 1 - 5, with 1 being poor and 5 being great?",Module A,how-would-you-rate-your-healthy-eating-behaviors-on-a-scale-of-1-5-with-1-being-poor-and-5-being-great,https://reports.verasight.io/reports/sbm-2026#q-1-14,1000,999.9999999999949,+/- 3.2%,false,5
2026-049_a_15,"On a scale from 1 to 5, please rate the following statement: When trying to change how I eat, support from others plays an important role.",Module A,on-a-scale-from-1-to-5-please-rate-the-following-statement-when-trying-to-change-how-i-eat-support-from-others-plays-an-important-role,https://reports.verasight.io/reports/sbm-2026#q-1-15,1000,999.9999999999949,+/- 3.2%,false,5
2026-049_a_16,"“Food Noise” is a term popularized in media and social media to describe things like “constantly thinking about food, even when not hungry,” or feeling like one’s life “revolves around food.” How often do you experience “Food Noise”?",Module A,food-noise-is-a-term-popularized-in-media-and-social-media-to-describe-things-like-constantly-thinking-about-food-even-when-not-hungry-or-feeling-like-one-s-life-revolves-around,https://reports.verasight.io/reports/sbm-2026#q-1-16,1000,999.9999999999949,+/- 3.2%,false,5
2026-049_a_17,"At any time in the past 12 months, have you intentionally tried to",Module A,at-any-time-in-the-past-12-months-have-you-intentionally-tried-to,https://reports.verasight.io/reports/sbm-2026#q-1-17,1000,999.9999999999949,+/- 3.2%,true,4
2026-049_a_18,Thinking about all of the things that influence a person's body weight - to what extent does a person's genetic makeup influence their weight?,Module A,thinking-about-all-of-the-things-that-influence-a-person-s-body-weight-to-what-extent-does-a-person-s-genetic-makeup-influence-their-weight,https://reports.verasight.io/reports/sbm-2026#q-1-18,1000,999.9999999999949,+/- 3.2%,false,6
